Company Name,Website,Address,Phone Number,Customer Name,Position,Customer Phone Number,Email Address,Specialise,,,,,,,,,
Vận Tải An Pha Trần - Công Ty TNHH Thương Mại Và Vận Tải An Pha Trần,www.vantaianpha.vn,"45A Nguyễn Thượng Hiền, P.5, Quận Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 38113811,Ông Trần Đức Phú,,0919 060 101(),,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Xuyên Việt,www.vantaixuyenviet.xim.tv,"Bến Xe Ngã Tư Ga, Quốc Lộ 1A, P. Thạnh Lộc, Q. 12,TP. Hồ Chí Minh, Việt Nam",(028) 37161685,Văn Phòng,,,vantaicongtainerxuyenviet@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Bình Minh Tải,www.binhminhtai.net.vn,"69 Nguyên Hồng, P. 11, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 38430063,Ms. Thanh,,0903 695 447,ctybinhminhtai@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Vũ Mừng,,"1/1 Tân Kỳ Tân Quý, P. Sơn Kỳ, Q. Tân Phú,TP. Hồ Chí Minh, Việt Nam",(028) 38471170,Mrs. Vũ Thị Mừng,,0903 914 027,vuthimung7979@gmail.com,vận tải container,,,,,,,,,
Container Đông Chinh - Công Ty Đông Chinh Container,www.dongchinhcontainer.com.vn,"159 Trần Hữu Trang, P. 10, Q. Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",(028) 39918293,Ông Phạm Thành Trung,,0902 910 578(),dongchinhtrade@gmail.com,vận tải container,,,,,,,,,
Công Ty Cổ Phần Vận Tải Ô Tô Số 2,www.covato2.vn,"326 Tân Kỳ Tân Quý, P. Sơn Kỳ, Q. Tân Phú,TP. Hồ Chí Minh, Việt Nam",(028) 38470009,Ông Nguyễn Mạnh Tuấn,,913803816,info@covato2.vn,vận tải container,,,,,,,,,
Công Ty Cổ Phần Vận Tải Và Đầu Tư Việt Hưng,www.viethungvn.com.vn,"101 Nguyễn Văn Thủ, P. Đa Kao, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 62912279,Ông Nguyễn Hồng Tâm,,0903 958 285,nhtam@viethungvn.com.vn,vận tải container,,,,,,,,,
Công Ty TNHH Vận Chuyển & Thương Mại Triết Tâm,www.triettam.vn,"46/10/76 Nguyễn Cửu Vân, P. 17, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",909569987,,,,ttam2000@gmail.com,vận tải container,,,,,,,,,
Công Ty Cổ Phần Vận Tải Và Dịch Vụ á Mỹ,www.amytrans.com.vn,"Tầng 9, Tòa Nhà Vietcomreal, Số 68 Nguyễn Huệ, P. Bến Nghé, Q. 1,TP. Hồ Chí Minh, Việt Nam",989184717,Mr. Phúc,,0989 184 717,amytrans@amytrans.com.vn,vận tải container,,,,,,,,,
Công Ty TNHH Dịch Vụ Vận Tải Tri Châu,www.24hvanchuyen.com,"Số 35A TA21, P. Thới An, Q. 12,TP. Hồ Chí Minh, Việt Nam",987992139,Mr. Nguyễn Tri Châu,TP. Kinh Doanh,0987 992 139,vantaitrichau@gmail.com,vận tải container,,,,,,,,,
